109/09/24,---,---,---,---,0,0,---,0
109/09/25,1.14,1.14,1.14,1.14,50000,57000,+0.02,1
109/09/28,1.14,1.17,1.14,1.17,200000,231500,+0.03,4
109/09/29,1.16,1.16,1.14,1.14,193000,220880,-0.03,2
109/09/30,1.13,1.13,1.13,1.13,43000,48590,-0.01,1
109/10/05,1.16,1.18,1.16,1.18,55000,64340,+0.05,3
109/10/06,1.19,1.31,1.19,1.29,459000,575640,+0.11,18
109/10/07,1.27,1.27,1.25,1.25,374000,474320,-0.04,11
109/10/08,1.29,1.36,1.28,1.28,133000,177110,+0.03,5
109/10/12,1.25,1.25,1.19,1.19,143000,171670,-0.09,6
109/10/13,1.17,1.17,1.17,1.17,16000,18720,-0.02,2
109/10/14,1.11,1.11,1.11,1.11,3000,3330,-0.06,1
109/10/15,1.10,1.10,1.10,1.10,30000,33000,-0.01,1
109/10/16,---,---,---,---,0,0,---,0
109/10/19,1.12,1.20,1.12,1.20,275000,318060,+0.12,8
109/10/20,1.24,1.29,1.23,1.28,679000,866720,+0.08,19
109/10/21,1.22,1.22,1.19,1.19,430000,513670,-0.09,7
109/10/22,1.18,1.20,1.18,1.20,23000,27200,+0.01,2
109/10/23,1.15,1.17,1.15,1.17,35000,40750,-0.03,4
109/10/26,1.18,1.18,1.17,1.17,60000,70300,0.00,2
109/10/27,1.08,1.11,1.08,1.11,90000,97800,-0.06,3
109/10/28,1.12,1.12,1.10,1.10,36000,40260,-0.01,2
109/10/29,1.04,1.04,1.02,1.04,73000,75520,-0.06,3
109/10/30,---,---,---,---,0,0,---,0
109/11/02,1.03,1.03,1.02,1.02,112000,114960,-0.01,3
109/11/03,1.03,1.03,1.01,1.02,134000,136730,0.00,4
109/11/04,1.04,1.04,1.03,1.04,109000,112730,+0.02,5
109/11/05,1.04,1.06,1.04,1.06,193000,204100,+0.02,5
109/11/06,1.06,1.06,1.05,1.05,168000,176900,-0.01,3
109/11/09,1.06,1.07,1.06,1.07,47000,50090,+0.02,3
109/11/10,0.97,0.97,0.97,0.97,4000,3880,-0.10,1
109/11/11,0.99,0.99,0.99,0.99,4000,3960,+0.02,1
109/11/12,1.04,1.06,1.03,1.06,182000,190350,+0.07,10
109/11/13,1.21,1.22,1.18,1.18,1048000,1262640,+0.12,36
109/11/16,1.24,1.24,1.19,1.19,96000,115350,+0.01,5
109/11/17,1.18,1.18,1.17,1.18,145000,170950,-0.01,4
109/11/18,1.21,1.33,1.21,1.29,1440000,1832430,+0.11,44
109/11/19,1.27,1.39,1.27,1.39,1572000,2112610,+0.10,45
109/11/20,1.45,1.71,1.45,1.54,2464000,3853960,+0.15,74
109/11/23,1.67,1.68,1.59,1.63,2063000,3407000,+0.09,25
109/11/24,1.68,1.68,1.53,1.55,232000,367120,-0.08,19
109/11/25,1.52,1.65,1.52,1.58,415000,661670,+0.03,27
109/11/26,1.62,1.63,1.59,1.61,1511000,2431760,+0.03,46
109/11/27,1.59,1.59,1.53,1.54,1162000,1811070,-0.07,18
109/11/30,1.57,1.57,1.56,1.56,162000,252920,+0.02,4
109/12/01,1.49,1.55,1.49,1.55,33000,50270,-0.01,4
109/12/02,1.55,1.65,1.55,1.65,99000,159010,+0.10,8
109/12/03,1.68,1.70,1.60,1.60,74000,123440,-0.05,8
109/12/04,1.47,1.47,1.47,1.47,20000,29400,-0.13,1
109/12/07,---,---,---,---,0,0,---,0
109/12/08,1.39,1.48,1.38,1.42,148000,208980,+0.06,15
109/12/09,1.58,1.58,1.51,1.51,148000,229720,+0.09,8
109/12/10,1.46,1.46,1.40,1.41,280000,396300,-0.10,9
109/12/11,1.43,1.43,1.35,1.38,191000,263380,-0.03,9
109/12/14,1.40,1.47,1.39,1.45,278000,400420,+0.07,15
109/12/15,1.46,1.59,1.44,1.57,648000,971800,+0.12,38
109/12/16,1.77,2.06,1.70,1.95,515000,953710,+0.38,56
109/12/17,1.97,2.20,1.97,2.07,307000,634580,+0.12,27
109/12/18,2.11,2.11,1.96,1.96,180000,361740,-0.11,21
109/12/21,1.97,1.99,1.88,1.98,130000,254870,+0.02,13
109/12/22,1.97,2.07,1.75,1.75,286000,564090,-0.23,15
109/12/23,1.85,1.85,1.78,1.81,182000,331450,+0.06,12
109/12/24,1.98,2.08,1.88,1.88,208000,408520,+0.07,12
109/12/25,1.91,1.91,1.81,1.86,410000,763970,-0.02,27
109/12/28,1.92,1.92,1.80,1.80,432000,790730,-0.06,20
109/12/29,1.81,1.93,1.71,1.93,285000,516700,+0.13,18
109/12/30,2.17,2.58,2.15,2.58,189000,442040,+0.65,27
109/12/31,2.67,2.67,2.30,2.41,205000,494080,-0.17,20
