109/08/14,---,---,---,---,0,0,---,0
109/08/17,---,---,---,---,0,0,---,0
109/08/18,---,---,---,---,0,0,---,0
109/08/19,1.11,1.16,1.11,1.16,252000,284830,+0.06,9
109/08/20,1.17,1.34,1.16,1.26,566000,709260,+0.10,23
109/08/21,1.22,1.25,1.22,1.22,448000,550910,-0.04,7
109/08/24,1.22,1.22,1.21,1.21,31000,37670,-0.01,12
109/08/25,1.20,1.20,1.16,1.16,261000,307150,-0.05,5
109/08/26,1.14,1.14,1.13,1.13,95000,108150,-0.03,13
109/08/27,1.16,1.16,1.14,1.15,276000,315460,+0.02,4
109/08/28,1.16,1.17,1.15,1.15,87000,100130,0.00,4
109/08/31,1.11,1.11,1.11,1.11,20000,22200,-0.04,18
109/09/01,---,---,---,---,0,0,---,0
109/09/02,1.11,1.13,1.11,1.13,417000,470910,0.00,4
109/09/03,1.08,1.10,1.08,1.09,846000,919350,-0.04,17
109/09/04,1.13,1.13,1.10,1.11,432000,477970,+0.02,16
109/09/07,1.07,1.07,1.07,1.07,2000,2140,-0.04,1
109/09/08,1.08,1.08,1.08,1.08,20000,21600,+0.01,1
109/09/09,1.12,1.12,1.10,1.10,369000,409440,+0.02,15
109/09/10,1.06,1.09,1.06,1.07,396000,424640,-0.03,11
109/09/11,1.09,1.09,1.08,1.09,56000,60680,+0.02,3
109/09/14,1.04,1.04,1.01,1.03,31000,32010,-0.06,3
109/09/15,1.02,1.04,1.02,1.04,43000,44500,+0.01,10
109/09/16,1.02,1.02,1.02,1.02,22000,22440,-0.02,1
109/09/17,1.02,1.03,1.02,1.03,54000,55130,+0.01,2
109/09/18,1.02,1.02,1.02,1.02,49000,49980,-0.01,2
109/09/21,1.02,1.02,1.01,1.01,177000,180140,-0.01,4
109/09/22,1.01,1.02,1.01,1.02,299000,304880,+0.01,7
109/09/23,1.00,1.08,1.00,1.06,268000,272830,+0.04,10
109/09/24,1.07,1.10,1.06,1.10,145000,156870,+0.04,6
109/09/25,1.11,1.14,1.11,1.14,150000,168920,+0.04,7
109/09/28,1.12,1.12,1.11,1.12,170000,190200,-0.02,6
109/09/29,1.06,1.12,1.06,1.12,55000,60000,0.00,6
109/09/30,1.10,1.13,1.10,1.12,133000,147870,0.00,6
