108/12/25,1.66,1.85,1.63,1.66,405000,705840,+0.02,31
108/12/26,1.62,1.66,1.60,1.60,285000,462180,-0.06,19
108/12/27,1.65,1.72,1.61,1.61,56000,92470,+0.01,7
108/12/30,1.68,1.75,1.48,1.53,208000,320380,-0.08,15
108/12/31,1.49,1.49,1.41,1.44,23000,33280,-0.09,4
109/01/02,1.59,1.77,1.59,1.73,353000,600060,+0.29,17
109/01/03,1.70,1.82,1.45,1.52,492000,788850,-0.21,18
109/01/06,1.40,1.43,1.26,1.26,210000,294580,-0.26,15
109/01/07,1.27,1.27,1.19,1.19,31000,38490,-0.07,2
109/01/08,1.09,1.09,1.09,1.09,25000,27250,-0.10,2
109/01/09,1.19,1.21,1.19,1.21,35000,42050,+0.12,3
109/01/10,---,---,---,---,0,0,---,0
109/01/13,1.17,1.28,1.17,1.25,57000,70030,+0.07,9
109/01/14,1.31,1.39,1.31,1.37,139000,190560,+0.12,6
109/01/15,1.38,1.60,1.38,1.55,413000,602180,+0.18,29
109/01/16,1.45,1.63,1.42,1.60,473000,711900,+0.05,31
109/01/17,1.66,1.86,1.62,1.86,392000,680040,+0.26,16
109/01/20,1.77,1.82,1.69,1.82,240000,426310,-0.04,31
109/01/30,---,---,---,---,0,0,---,0
109/01/31,1.15,1.15,1.15,1.15,98000,112700,+0.05,1
109/02/03,0.93,1.16,0.93,1.16,108000,102740,+0.01,2
109/02/04,1.28,1.43,1.28,1.39,209000,282520,+0.23,6
109/02/05,1.39,1.60,1.32,1.45,1009000,1482750,+0.06,21
109/02/06,1.66,1.66,1.52,1.52,780000,1236520,+0.07,10
109/02/07,1.54,1.54,1.50,1.54,110000,167400,+0.02,3
109/02/10,1.35,1.42,1.32,1.32,329000,452540,-0.22,7
109/02/11,1.34,1.43,1.33,1.43,910000,1235730,+0.11,15
109/02/12,1.40,1.64,1.40,1.46,765000,1131160,+0.03,26
109/02/13,1.50,1.50,1.38,1.38,305000,439120,-0.08,11
109/02/14,1.54,1.73,1.54,1.73,516000,810060,+0.35,17
109/02/17,1.65,2.41,1.65,2.17,863000,1779090,+0.44,56
109/02/18,2.24,2.38,1.91,1.91,688000,1510040,-0.26,41
109/02/19,2.07,2.43,2.01,2.43,462000,1088570,+0.52,26
109/02/20,2.45,2.61,2.36,2.61,348000,848040,+0.18,24
109/02/21,2.41,2.51,2.27,2.41,96000,226180,-0.20,11
109/02/24,2.17,2.31,2.08,2.08,77000,168590,-0.33,9
109/02/25,1.98,2.11,1.97,2.11,77000,157570,+0.03,11
109/02/26,1.97,2.06,1.79,1.79,120000,234210,-0.32,11
109/02/27,1.74,1.74,1.43,1.48,186000,286300,-0.31,8
109/03/02,1.27,1.57,1.27,1.46,65000,94050,-0.02,7
109/03/03,1.85,1.85,1.72,1.72,59000,106650,+0.26,6
109/03/04,1.32,1.32,1.32,1.32,10000,13200,-0.40,1
109/03/05,1.50,1.69,1.46,1.69,130000,210300,+0.37,7
109/03/06,1.61,1.61,1.49,1.49,160000,251200,-0.20,8
109/03/09,1.19,1.22,1.00,1.00,200000,221200,-0.49,12
109/03/10,0.89,1.14,0.89,1.14,313000,333980,+0.14,14
109/03/11,1.10,1.17,0.92,0.92,397000,413140,-0.22,24
109/03/12,0.80,0.80,0.67,0.78,88000,64600,-0.14,9
109/03/13,0.39,0.54,0.39,0.54,90000,37800,-0.24,3
109/03/16,0.54,0.54,0.54,0.54,20000,10800,0.00,1
109/03/17,0.41,0.42,0.39,0.41,181000,73110,-0.13,19
109/03/18,0.40,0.40,0.35,0.35,213000,80850,-0.06,16
109/03/19,0.34,0.34,0.19,0.19,30000,8700,-0.16,3
109/03/20,---,---,---,---,0,0,---,0
109/03/23,---,---,---,---,0,0,---,0
109/03/24,---,---,---,---,0,0,---,0
109/03/25,---,---,---,---,0,0,---,0
109/03/26,---,---,---,---,0,0,---,0
109/03/27,---,---,---,---,0,0,---,0
109/03/30,---,---,---,---,0,0,---,0
109/03/31,---,---,---,---,0,0,---,0
109/04/01,---,---,---,---,0,0,---,0
109/04/06,---,---,---,---,0,0,---,0
109/04/07,0.20,0.20,0.20,0.20,1000,200,-0.02,1
109/04/08,0.21,0.25,0.21,0.25,21000,4450,+0.05,2
109/04/09,---,---,---,---,0,0,---,0
109/04/10,---,---,---,---,0,0,---,0
109/04/13,---,---,---,---,0,0,---,0
109/04/14,---,---,---,---,0,0,---,0
109/04/15,---,---,---,---,0,0,---,0
109/04/16,---,---,---,---,0,0,---,0
109/04/17,---,---,---,---,0,0,---,0
109/04/20,---,---,---,---,0,0,---,0
109/04/21,---,---,---,---,0,0,---,0
109/04/22,---,---,---,---,0,0,---,0
109/04/23,---,---,---,---,0,0,---,0
109/04/24,---,---,---,---,0,0,---,0
109/04/27,---,---,---,---,0,0,---,0
109/04/28,---,---,---,---,0,0,---,0
109/04/29,---,---,---,---,0,0,---,0
109/04/30,---,---,---,---,0,0,---,0
109/05/04,---,---,---,---,0,0,---,0
109/05/05,---,---,---,---,0,0,---,0
109/05/06,---,---,---,---,0,0,---,0
109/05/07,---,---,---,---,0,0,---,0
109/05/08,---,---,---,---,0,0,---,0
109/05/11,---,---,---,---,0,0,---,0
109/05/12,---,---,---,---,0,0,---,0
109/05/13,---,---,---,---,0,0,---,0
109/05/14,---,---,---,---,0,0,---,0
109/05/15,---,---,---,---,0,0,---,0
109/05/18,---,---,---,---,0,0,---,0
109/05/19,---,---,---,---,0,0,---,0
109/05/20,---,---,---,---,0,0,---,0
109/05/21,---,---,---,---,0,0,---,0
109/05/22,---,---,---,---,0,0,---,0
109/05/25,---,---,---,---,0,0,---,0
109/05/26,---,---,---,---,0,0,---,0
109/05/27,---,---,---,---,0,0,---,0
109/05/28,---,---,---,---,0,0,---,0
109/05/29,---,---,---,---,0,0,---,0
