108/08/26,1.64,1.64,1.61,1.61,30000,48600,0.00,2
108/08/27,---,---,---,---,0,0,---,0
108/08/28,1.60,1.60,1.60,1.60,61000,97600,+0.02,2
108/08/29,1.60,1.60,1.60,1.60,41000,65600,0.00,1
108/08/30,---,---,---,---,0,0,---,0
108/09/02,1.50,1.50,1.50,1.50,6000,9000,+0.03,1
108/09/03,---,---,---,---,0,0,---,0
108/09/04,1.42,1.42,1.42,1.42,6000,8520,-0.06,1
108/09/05,1.38,1.38,1.38,1.38,46000,63480,-0.04,1
108/09/06,1.38,1.38,1.36,1.36,56000,77080,-0.02,2
108/09/09,1.36,1.36,1.36,1.36,134000,182240,0.00,3
108/09/10,1.31,1.35,1.31,1.35,134000,178900,-0.01,3
108/09/11,1.35,1.35,1.35,1.35,9000,12150,0.00,1
108/09/12,1.26,1.26,1.26,1.26,9000,11340,-0.09,1
108/09/16,---,---,---,---,0,0,---,0
108/09/17,---,---,---,---,0,0,---,0
108/09/18,---,---,---,---,0,0,---,0
108/09/19,---,---,---,---,0,0,---,0
108/09/20,1.22,1.25,1.22,1.25,234000,291480,+0.04,3
108/09/23,1.24,1.24,1.21,1.23,184000,226140,-0.02,3
108/09/24,1.19,1.19,1.19,1.19,50000,59500,-0.04,1
108/09/25,1.21,1.25,1.21,1.25,68000,83700,+0.06,3
108/09/26,1.21,1.25,1.21,1.25,137000,168670,0.00,7
108/09/27,1.21,1.30,1.21,1.30,251000,320890,+0.05,7
108/10/01,1.26,1.27,1.25,1.27,282000,356320,-0.03,5
108/10/02,1.32,1.32,1.32,1.32,48000,63360,+0.05,1
108/10/03,1.37,1.40,1.37,1.40,120000,165700,+0.08,4
108/10/04,1.34,1.35,1.31,1.31,142000,190400,-0.09,5
108/10/07,1.37,1.43,1.37,1.43,693000,980180,+0.12,14
108/10/08,1.37,1.41,1.37,1.40,680000,947820,-0.03,10
108/10/09,1.39,1.47,1.39,1.43,333000,478660,+0.03,10
108/10/14,1.38,1.38,1.33,1.33,158000,216340,-0.10,4
108/10/15,1.35,1.35,1.35,1.35,105000,141750,+0.02,2
108/10/16,1.30,1.30,1.25,1.25,106000,137010,-0.10,3
108/10/17,1.23,1.23,1.23,1.23,2000,2460,-0.02,2
108/10/18,1.22,1.22,1.22,1.22,1000,1220,-0.01,1
108/10/21,---,---,---,---,0,0,---,0
108/10/22,1.20,1.20,1.20,1.20,10000,12000,-0.03,1
108/10/23,---,---,---,---,0,0,---,0
108/10/24,1.03,1.04,1.03,1.04,20000,20700,-0.13,2
108/10/25,---,---,---,---,0,0,---,0
108/10/28,---,---,---,---,0,0,---,0
108/10/29,0.88,0.95,0.88,0.95,379000,342660,+0.03,11
108/10/30,0.96,0.96,0.92,0.94,349000,326470,-0.01,10
108/10/31,0.96,1.04,0.95,1.04,266000,260560,+0.10,9
108/11/01,1.07,1.07,1.05,1.05,136000,144020,+0.01,6
108/11/04,---,---,---,---,0,0,---,0
108/11/05,0.88,0.88,0.84,0.84,418000,353910,-0.01,3
108/11/06,0.93,1.02,0.91,1.01,1225000,1167810,+0.17,11
108/11/07,0.97,1.11,0.93,1.10,1549000,1563450,+0.09,25
108/11/08,1.02,1.07,1.02,1.07,859000,889510,-0.03,15
108/11/11,1.08,1.10,1.05,1.10,390000,422450,+0.03,5
108/11/12,1.09,1.18,1.08,1.15,772000,865770,+0.05,15
108/11/13,1.11,1.11,1.07,1.10,537000,585080,-0.05,12
108/11/14,1.04,1.09,1.04,1.09,303000,319910,-0.01,4
108/11/15,1.05,1.05,1.04,1.04,255000,266200,-0.05,6
108/11/18,0.90,0.90,0.90,0.90,89000,80100,-0.14,1
108/11/19,0.93,0.93,0.92,0.92,89000,82380,+0.02,2
108/11/20,0.89,0.92,0.89,0.92,60000,54100,0.00,6
108/11/21,0.93,0.96,0.93,0.96,259000,246840,+0.04,2
