108/10/22,2.75,2.75,2.75,2.75,1000,2750,-0.37,1
108/10/23,2.82,2.82,2.82,2.82,1000,2820,+0.07,1
108/10/24,3.08,3.09,3.05,3.09,102000,313800,+0.27,5
108/10/25,3.02,3.18,2.91,3.18,152000,472290,+0.09,20
108/10/28,3.61,4.08,3.61,4.05,189000,707820,+0.87,12
108/10/29,4.10,4.19,3.16,3.31,148000,523490,-0.74,24
108/10/30,3.50,3.50,3.50,3.50,43000,150500,+0.19,2
108/10/31,3.49,3.49,3.34,3.34,57000,196160,-0.16,7
108/11/01,3.04,3.04,3.04,3.04,6000,18240,-0.30,1
108/11/04,3.25,3.25,3.25,3.25,6000,19500,+0.21,1
108/11/05,3.43,3.43,3.43,3.43,10000,34300,+0.18,1
108/11/06,3.38,3.38,3.38,3.38,10000,33800,-0.05,1
108/11/07,---,---,---,---,0,0,---,0
108/11/08,2.54,2.54,2.54,2.54,111000,281940,+0.10,2
108/11/11,2.30,2.30,2.20,2.20,161000,361980,-0.34,23
108/11/12,2.28,2.28,2.28,2.28,35000,79800,+0.08,1
108/11/13,2.33,2.48,2.33,2.48,87000,209810,+0.20,7
108/11/14,2.61,2.61,2.53,2.53,54000,138840,+0.05,7
108/11/15,2.86,2.86,2.85,2.85,15000,42850,+0.32,2
108/11/18,2.89,2.89,2.79,2.82,60000,169420,-0.03,6
108/11/19,---,---,---,---,0,0,---,0
108/11/20,---,---,---,---,0,0,---,0
108/11/21,2.08,2.24,2.04,2.24,90000,190760,+0.04,4
108/11/22,2.32,2.32,2.23,2.27,95000,216550,+0.03,9
108/11/25,2.06,2.06,2.06,2.06,10000,20600,-0.21,1
108/11/26,2.12,2.26,2.12,2.26,59000,129480,+0.20,5
108/11/27,2.25,2.29,2.25,2.29,59000,134110,+0.03,7
108/11/28,---,---,---,---,0,0,---,0
108/11/29,---,---,---,---,0,0,---,0
108/12/02,---,---,---,---,0,0,---,0
108/12/03,---,---,---,---,0,0,---,0
108/12/04,---,---,---,---,0,0,---,0
108/12/05,---,---,---,---,0,0,---,0
108/12/06,---,---,---,---,0,0,---,0
108/12/09,---,---,---,---,0,0,---,0
108/12/10,---,---,---,---,0,0,---,0
108/12/11,---,---,---,---,0,0,---,0
108/12/12,1.40,1.40,1.40,1.40,10000,14000,+0.25,1
108/12/13,1.58,1.60,1.58,1.60,10000,15820,+0.20,4
108/12/16,---,---,---,---,0,0,---,0
108/12/17,1.50,1.50,1.43,1.43,98000,140840,+0.11,2
108/12/18,1.36,1.36,1.31,1.36,98000,132780,-0.07,4
108/12/19,1.20,1.20,1.20,1.20,98000,117600,-0.16,1
108/12/20,1.07,1.07,0.97,0.97,110000,109000,-0.23,7
108/12/23,0.96,0.96,0.96,0.96,10000,9600,-0.01,1
108/12/24,1.06,1.10,1.06,1.10,138000,150200,+0.14,2
108/12/25,1.01,1.09,1.01,1.07,413000,439310,-0.03,8
108/12/26,1.13,1.16,1.07,1.07,371000,408580,0.00,12
108/12/27,1.32,1.41,1.31,1.37,96000,131420,+0.30,8
108/12/30,---,---,---,---,0,0,---,0
108/12/31,---,---,---,---,0,0,---,0
109/01/02,1.12,1.12,1.12,1.12,43000,48160,+0.10,1
109/01/03,1.29,1.29,1.29,1.29,43000,55470,+0.17,1
109/01/06,0.85,0.85,0.84,0.84,11000,9340,-0.45,2
109/01/07,0.81,0.81,0.70,0.79,30000,23000,-0.05,3
109/01/08,0.70,0.70,0.70,0.70,20000,14000,-0.09,1
109/01/09,0.61,0.66,0.61,0.66,51000,33060,-0.04,5
109/01/10,0.64,0.64,0.63,0.63,61000,38530,-0.03,2
109/01/13,0.66,0.66,0.66,0.66,10000,6600,+0.03,1
109/01/14,0.70,0.70,0.70,0.70,68000,47600,+0.04,1
109/01/15,0.72,0.73,0.72,0.73,78000,56260,+0.03,4
109/01/16,0.57,0.57,0.57,0.57,10000,5700,-0.16,1
109/01/17,---,---,---,---,0,0,---,0
109/01/20,---,---,---,---,0,0,---,0
109/01/30,0.38,0.38,0.38,0.38,68000,25840,-0.20,1
109/01/31,0.41,0.46,0.41,0.46,78000,35380,+0.08,2
109/02/03,0.30,0.30,0.30,0.30,10000,3000,-0.16,1
109/02/04,---,---,---,---,0,0,---,0
109/02/05,---,---,---,---,0,0,---,0
109/02/06,---,---,---,---,0,0,---,0
109/02/07,0.53,0.53,0.53,0.53,68000,36040,-0.01,1
109/02/10,0.38,0.38,0.38,0.38,68000,25840,-0.15,1
109/02/11,---,---,---,---,0,0,---,0
109/02/12,0.71,0.78,0.71,0.78,20000,14900,+0.18,2
109/02/13,1.00,1.01,0.75,0.76,51000,43800,-0.02,5
