108/12/19,---,---,---,---,0,0,---,0
108/12/20,---,---,---,---,0,0,---,0
108/12/23,0.98,1.00,0.98,1.00,7000,6980,+0.01,2
108/12/24,1.00,1.01,1.00,1.01,15000,15100,+0.01,2
108/12/25,---,---,---,---,0,0,---,0
108/12/26,1.01,1.01,0.98,0.98,22000,21640,-0.03,4
108/12/27,0.97,0.97,0.97,0.97,1000,970,-0.01,1
108/12/30,---,---,---,---,0,0,---,0
108/12/31,0.95,0.95,0.95,0.95,11000,10450,+0.01,1
109/01/02,0.92,0.92,0.92,0.92,11000,10120,-0.03,1
109/01/03,0.95,0.95,0.95,0.95,1000,950,+0.03,1
109/01/06,---,---,---,---,0,0,---,0
109/01/07,0.95,0.96,0.95,0.95,31000,29650,-0.02,3
109/01/08,0.95,0.95,0.93,0.93,210000,199300,-0.02,2
109/01/09,0.92,0.92,0.89,0.89,260000,236600,-0.04,4
109/01/10,0.87,0.88,0.87,0.88,395000,343700,-0.01,3
109/01/13,---,---,---,---,0,0,---,0
109/01/14,0.84,0.84,0.82,0.82,370000,306400,-0.06,6
109/01/15,0.84,0.84,0.84,0.84,12000,10080,+0.02,3
109/01/16,0.84,0.84,0.84,0.84,51000,42840,0.00,3
109/01/17,0.86,0.86,0.85,0.85,81000,69350,+0.01,4
109/01/20,0.85,0.88,0.85,0.86,351000,301440,+0.01,4
109/01/30,0.95,0.95,0.87,0.91,451000,404980,+0.05,13
109/01/31,0.87,0.90,0.87,0.90,316000,279300,-0.01,9
109/02/03,0.93,0.95,0.91,0.94,401000,373100,+0.04,15
109/02/04,0.90,0.90,0.89,0.89,47000,41940,-0.05,6
109/02/05,0.87,0.87,0.86,0.87,113000,98210,-0.02,4
109/02/06,0.84,0.85,0.84,0.85,313000,264030,-0.02,7
109/02/07,0.82,0.83,0.82,0.83,11000,9110,-0.02,3
109/02/10,0.83,0.85,0.83,0.85,85000,70630,+0.02,2
109/02/11,0.89,0.89,0.87,0.88,34000,29780,+0.03,3
109/02/12,0.86,0.87,0.86,0.86,44000,38040,-0.02,4
109/02/13,0.88,0.88,0.87,0.88,50000,43900,+0.02,5
109/02/14,0.87,0.89,0.87,0.87,71000,62190,-0.01,5
109/02/17,0.90,0.93,0.90,0.93,11000,10050,+0.06,3
109/02/18,0.91,0.91,0.91,0.91,29000,26390,-0.02,4
109/02/19,0.90,0.90,0.88,0.88,6000,5300,-0.03,2
109/02/20,0.85,0.85,0.84,0.84,137000,115150,-0.04,9
109/02/21,0.85,0.85,0.82,0.82,20000,16610,-0.02,2
109/02/24,0.86,0.86,0.86,0.86,106000,91160,+0.04,4
