109/08/14,---,---,---,---,0,0,---,0
109/08/17,---,---,---,---,0,0,---,0
109/08/18,2.96,3.15,2.94,3.15,120000,366500,+0.30,7
109/08/19,3.01,3.01,2.91,2.91,92000,276720,-0.24,5
109/08/20,2.06,2.06,2.06,2.06,12000,24720,-0.85,2
109/08/21,2.79,2.79,2.79,2.79,4000,11160,+0.73,1
109/08/24,2.62,2.66,2.53,2.53,28000,71720,-0.26,3
109/08/25,2.61,2.95,2.57,2.57,110000,310350,+0.04,9
109/08/26,2.45,2.67,2.42,2.67,460000,1186650,+0.10,28
109/08/27,2.75,2.75,2.57,2.62,361000,956030,-0.05,9
109/08/28,2.72,3.66,2.72,3.46,527000,1565760,+0.84,29
109/08/31,4.22,5.20,4.22,5.20,309000,1333190,+1.74,18
109/09/01,5.45,5.55,4.56,4.56,156000,833700,-0.64,24
109/09/02,4.54,5.40,4.52,5.40,126000,613750,+0.84,12
109/09/03,5.15,5.15,4.75,4.81,400000,2004440,-0.59,21
109/09/04,4.49,4.98,4.36,4.84,223000,1007430,+0.03,32
109/09/07,5.05,5.05,4.34,4.44,90000,435580,-0.40,20
109/09/08,4.49,4.49,3.67,3.67,201000,833140,-0.77,11
109/09/09,3.90,4.01,3.88,3.90,162000,636050,+0.23,8
109/09/10,3.83,3.85,3.54,3.62,29000,109720,-0.28,8
109/09/11,3.52,3.52,2.95,2.95,140000,453790,-0.67,15
109/09/14,3.00,3.50,2.56,3.50,365000,1126250,+0.55,28
109/09/15,3.57,3.62,3.27,3.38,310000,1072730,-0.12,23
109/09/16,3.31,3.35,3.31,3.35,12000,39800,-0.03,2
109/09/17,---,---,---,---,0,0,---,0
109/09/18,2.95,3.05,2.78,2.78,21000,62600,-0.17,6
109/09/21,2.72,2.86,2.56,2.56,43000,113210,-0.22,9
109/09/22,2.61,2.76,2.42,2.73,176000,461440,+0.17,22
109/09/23,2.73,2.73,2.50,2.50,170000,457240,-0.23,6
109/09/24,2.31,2.49,2.31,2.33,117000,281620,-0.17,10
109/09/25,2.32,2.47,1.84,1.84,257000,589710,-0.49,33
109/09/28,2.01,2.22,1.98,2.18,268000,570220,+0.34,18
109/09/29,2.28,2.28,2.14,2.19,180000,404300,+0.01,17
109/09/30,2.17,2.43,2.17,2.43,156000,364750,+0.24,14
109/10/05,2.60,2.60,2.40,2.43,251000,626000,0.00,32
109/10/06,2.40,2.46,2.40,2.41,117000,285140,-0.02,7
109/10/07,2.33,2.57,2.33,2.37,204000,509200,-0.04,11
109/10/08,2.38,2.45,2.33,2.33,159000,378660,-0.04,11
109/10/12,2.41,2.41,2.20,2.21,110000,250030,-0.12,7
109/10/13,2.13,2.47,2.13,2.21,80000,187590,0.00,11
109/10/14,2.25,3.03,2.25,3.03,330000,812190,+0.82,35
109/10/15,3.40,3.44,2.74,2.81,359000,1129040,-0.22,34
109/10/16,2.92,3.00,2.79,2.81,287000,834250,0.00,18
109/10/19,2.98,3.00,2.76,2.87,406000,1179590,+0.06,32
109/10/20,3.07,3.07,2.82,2.91,195000,569570,+0.04,17
109/10/21,2.98,3.05,2.94,2.99,283000,844890,+0.08,18
109/10/22,2.96,3.02,2.88,2.90,256000,756730,-0.09,22
109/10/23,2.97,3.16,2.92,3.04,184000,551180,+0.14,22
109/10/26,3.16,3.69,3.16,3.30,174000,582590,+0.26,23
109/10/27,3.17,3.20,3.00,3.20,120000,372420,-0.10,16
109/10/28,3.57,3.63,3.28,3.30,226000,772890,+0.10,20
109/10/29,3.28,3.44,3.19,3.39,205000,691430,+0.09,10
109/10/30,3.42,3.42,3.08,3.08,96000,314230,-0.31,11
109/11/02,3.27,3.28,3.16,3.28,53000,171410,+0.20,6
109/11/03,3.45,3.50,3.32,3.32,180000,617200,+0.04,6
109/11/04,3.17,3.41,3.17,3.41,86000,286060,+0.09,4
109/11/05,3.70,3.70,3.37,3.41,151000,521870,0.00,9
109/11/06,3.45,3.55,3.45,3.53,83000,292710,+0.12,5
109/11/09,4.01,4.01,3.95,3.95,40000,159800,+0.42,2
109/11/10,3.81,3.83,3.13,3.24,51000,175830,-0.71,5
109/11/11,3.11,3.31,3.11,3.18,40000,127850,-0.06,5
109/11/12,3.07,3.07,2.96,2.96,23000,69680,-0.22,3
109/11/13,3.05,3.05,2.92,2.92,44000,130290,-0.04,6
109/11/16,---,---,---,---,0,0,---,0
109/11/17,2.60,2.72,2.58,2.72,36000,95520,-0.14,4
109/11/18,2.65,2.87,2.61,2.84,58000,160080,+0.12,8
109/11/19,2.90,2.90,2.87,2.87,15000,43200,+0.03,2
109/11/20,2.75,2.75,2.64,2.64,32000,86540,-0.23,4
109/11/23,2.68,2.76,2.68,2.76,20000,54400,+0.12,2
109/11/24,2.83,2.83,2.72,2.72,12000,33740,-0.04,2
109/11/25,2.70,2.70,2.70,2.70,2000,5400,-0.02,1
109/11/26,2.69,2.69,2.64,2.64,5000,13350,-0.06,2
109/11/27,2.60,2.60,2.55,2.55,12000,30700,-0.09,2
