108/12/16,0.80,0.85,0.80,0.85,8000,6590,0.00,3
108/12/17,0.87,0.89,0.81,0.83,41000,35690,-0.02,8
108/12/18,0.77,0.77,0.73,0.73,196000,145440,-0.10,8
108/12/19,0.70,0.72,0.67,0.72,116000,81020,-0.01,5
108/12/20,0.65,0.65,0.63,0.64,170000,108790,-0.08,5
108/12/23,0.65,0.68,0.65,0.68,392000,255890,+0.04,16
108/12/24,0.66,0.68,0.66,0.68,566000,378440,0.00,10
108/12/25,0.70,0.76,0.69,0.76,701000,507900,+0.08,19
108/12/26,0.72,0.73,0.68,0.72,822000,586880,-0.04,18
108/12/27,0.73,0.77,0.72,0.77,518000,381850,+0.05,14
108/12/30,0.77,0.79,0.73,0.74,414000,309470,-0.03,9
108/12/31,0.68,0.68,0.68,0.68,30000,20400,-0.06,2
109/01/02,0.68,0.75,0.68,0.75,111000,78280,+0.07,3
109/01/03,0.71,0.72,0.67,0.69,149000,102900,-0.06,4
109/01/06,0.69,0.80,0.69,0.76,761000,573980,+0.07,34
109/01/07,0.75,0.80,0.69,0.77,696000,523960,+0.01,26
109/01/08,0.70,0.72,0.66,0.67,337000,236970,-0.10,17
109/01/09,0.70,0.93,0.69,0.88,982000,805330,+0.21,42
109/01/10,0.90,0.94,0.83,0.91,1370000,1221400,+0.03,74
109/01/13,0.91,1.03,0.88,0.90,756000,730430,-0.01,54
109/01/14,0.87,0.94,0.87,0.91,199000,182710,+0.01,8
109/01/15,0.96,1.05,0.96,1.00,244000,245830,+0.09,9
109/01/16,0.93,0.97,0.87,0.89,206000,194910,-0.11,10
109/01/17,0.87,0.93,0.87,0.91,139000,124880,+0.02,6
109/01/20,0.92,0.92,0.90,0.91,62000,56590,0.00,4
109/01/30,0.76,0.83,0.73,0.73,618000,485090,-0.18,16
109/01/31,0.76,0.80,0.73,0.80,600000,459950,+0.07,14
109/02/03,0.80,0.80,0.63,0.70,356000,234250,-0.10,9
109/02/04,0.69,0.71,0.69,0.69,196000,137020,-0.01,6
109/02/05,0.66,0.72,0.63,0.69,447000,301160,0.00,10
109/02/06,0.75,0.96,0.75,0.93,1617000,1400110,+0.24,45
109/02/07,0.93,1.15,0.86,1.07,1138000,1108550,+0.14,66
109/02/10,1.01,1.15,0.99,1.01,664000,702640,-0.06,40
109/02/11,1.02,1.33,1.02,1.33,1096000,1256310,+0.32,70
109/02/12,1.26,1.42,1.21,1.30,1095000,1412180,-0.03,62
109/02/13,1.35,1.46,1.26,1.30,346000,478290,0.00,42
109/02/14,1.30,1.45,1.29,1.43,414000,579740,+0.13,46
109/02/17,1.31,1.51,1.29,1.47,447000,638430,+0.04,49
109/02/18,1.40,1.50,1.24,1.24,191000,271500,-0.23,27
109/02/19,1.27,1.34,1.16,1.29,206000,263760,+0.05,22
109/02/20,1.46,1.57,1.41,1.50,892000,1329470,+0.21,76
109/02/21,1.31,1.34,1.23,1.26,856000,1094180,-0.24,33
109/02/24,1.13,1.33,1.13,1.29,937000,1170090,+0.03,33
109/02/25,1.25,1.35,1.24,1.34,975000,1273950,+0.05,38
109/02/26,1.42,1.55,1.25,1.25,1194000,1715830,-0.09,79
109/02/27,1.33,1.33,1.13,1.13,901000,1162680,-0.12,47
109/03/02,1.08,1.35,1.07,1.35,897000,1079220,+0.22,61
109/03/03,1.44,1.71,1.41,1.45,1067000,1684200,+0.10,86
109/03/04,1.40,1.42,1.18,1.36,537000,695490,-0.09,59
109/03/05,1.36,1.40,1.28,1.36,517000,695580,0.00,36
109/03/06,1.29,1.44,1.29,1.35,635000,863780,-0.01,53
109/03/09,1.21,1.29,0.87,0.89,316000,335170,-0.46,54
109/03/10,0.92,1.05,0.85,1.05,818000,780730,+0.16,48
109/03/11,1.08,1.08,0.72,0.73,869000,798040,-0.32,42
109/03/12,0.59,0.63,0.41,0.43,692000,332270,-0.30,41
109/03/13,0.25,0.45,0.24,0.45,294000,80740,+0.02,14
109/03/16,0.40,0.44,0.27,0.27,426000,168290,-0.18,30
109/03/17,0.18,0.33,0.18,0.30,581000,160180,+0.03,33
109/03/18,0.27,0.27,0.13,0.18,194000,43960,-0.12,30
109/03/19,0.12,0.12,0.11,0.11,49000,5400,-0.07,6
109/03/20,0.13,0.19,0.13,0.17,89000,12890,+0.06,6
109/03/23,0.15,0.15,0.05,0.05,16000,1600,-0.12,2
109/03/24,0.10,0.20,0.09,0.20,752000,94040,+0.15,25
109/03/25,0.15,0.26,0.15,0.16,353000,58560,-0.04,7
109/03/26,0.15,0.15,0.15,0.15,3000,450,-0.01,1
109/03/27,0.21,0.21,0.16,0.16,21000,4140,+0.01,3
109/03/30,0.12,0.12,0.12,0.12,8000,960,-0.04,1
109/03/31,0.14,0.14,0.14,0.14,466000,65240,+0.02,2
109/04/01,0.15,0.15,0.15,0.15,137000,20550,+0.01,1
109/04/06,0.19,0.26,0.19,0.26,34000,6840,+0.11,5
109/04/07,0.42,0.44,0.42,0.44,36000,15360,+0.18,5
109/04/08,0.45,0.45,0.42,0.42,29000,12680,-0.02,6
109/04/09,0.38,0.38,0.36,0.36,6000,2180,-0.06,2
109/04/10,---,---,---,---,0,0,---,0
109/04/13,0.34,0.40,0.34,0.37,32000,11780,+0.01,3
109/04/14,---,---,---,---,0,0,---,0
109/04/15,0.44,0.44,0.40,0.40,137000,55480,+0.03,4
109/04/16,---,---,---,---,0,0,---,0
109/04/17,0.38,0.38,0.38,0.38,5000,1900,-0.02,1
109/04/20,---,---,---,---,0,0,---,0
109/04/21,0.32,0.32,0.30,0.30,13000,4030,-0.08,3
109/04/22,0.29,0.32,0.29,0.30,43000,13470,0.00,3
109/04/23,---,---,---,---,0,0,---,0
109/04/24,0.27,0.34,0.26,0.34,28000,8120,+0.04,3
109/04/27,0.30,0.38,0.30,0.38,110000,40800,+0.04,5
109/04/28,0.35,0.36,0.35,0.36,20000,7100,-0.02,2
109/04/29,---,---,---,---,0,0,---,0
109/04/30,0.36,0.36,0.33,0.33,15000,5100,-0.03,2
109/05/04,---,---,---,---,0,0,---,0
109/05/05,0.33,0.33,0.33,0.33,5000,1650,+0.05,1
109/05/06,---,---,---,---,0,0,---,0
109/05/07,---,---,---,---,0,0,---,0
109/05/08,0.22,0.22,0.22,0.22,44000,9680,-0.06,2
109/05/11,0.15,0.15,0.15,0.15,10000,1500,-0.07,1
109/05/12,---,---,---,---,0,0,---,0
109/05/13,0.11,0.11,0.11,0.11,10000,1100,-0.02,1
