109/08/05,---,---,---,---,0,0,---,0
109/08/06,---,---,---,---,0,0,---,0
109/08/07,1.03,1.08,1.03,1.08,47000,49850,+0.03,3
109/08/10,1.07,1.24,1.07,1.19,62000,70090,+0.11,12
109/08/11,1.15,1.15,1.15,1.15,15000,17250,-0.04,1
109/08/12,1.26,1.33,1.26,1.33,153000,197230,+0.18,4
109/08/13,1.22,1.22,1.19,1.21,156000,189790,-0.12,5
109/08/14,1.28,1.29,1.28,1.29,19000,24370,+0.08,2
109/08/17,1.17,1.19,1.10,1.10,37000,43480,-0.19,4
109/08/18,1.17,1.17,1.09,1.13,24000,27650,+0.03,4
109/08/19,1.07,1.09,1.05,1.09,32000,34060,-0.04,4
109/08/20,1.08,1.31,1.08,1.27,43000,52570,+0.18,9
109/08/21,1.17,1.17,1.17,1.17,16000,18720,-0.10,1
109/08/24,1.17,1.17,1.17,1.17,15000,17550,0.00,1
109/08/25,1.08,1.10,1.06,1.06,72000,78240,-0.11,8
109/08/26,1.09,1.10,1.09,1.10,177000,193930,+0.04,4
109/08/27,1.13,1.20,1.13,1.19,260000,302820,+0.09,20
109/08/28,1.17,1.25,1.16,1.25,357000,427310,+0.06,24
109/08/31,1.19,1.23,1.19,1.21,248000,302100,-0.04,13
109/09/01,1.22,1.24,1.15,1.16,285000,345100,-0.05,15
109/09/02,1.05,1.05,0.92,0.95,141000,141330,-0.21,39
109/09/03,0.94,1.07,0.94,1.07,39000,37890,+0.12,5
109/09/04,1.01,1.11,1.01,1.11,273000,294000,+0.04,15
109/09/07,1.06,1.28,1.06,1.22,708000,832150,+0.11,32
109/09/08,1.16,1.20,1.13,1.16,499000,576870,-0.06,20
109/09/09,1.19,1.22,1.14,1.14,109000,130830,-0.02,6
109/09/10,0.93,1.07,0.93,1.06,162000,166950,-0.08,26
109/09/11,1.06,1.08,1.04,1.04,103000,108450,-0.02,12
109/09/14,0.99,1.03,0.95,1.03,210000,203010,-0.01,23
109/09/15,1.03,1.03,0.97,1.00,213000,214130,-0.03,13
109/09/16,0.95,0.95,0.81,0.90,172000,148850,-0.10,18
109/09/17,0.89,1.00,0.86,1.00,283000,265130,+0.10,32
109/09/18,0.99,0.99,0.96,0.98,245000,240990,-0.02,15
109/09/21,0.95,1.00,0.95,1.00,237000,229890,+0.02,11
109/09/22,1.00,1.07,1.00,1.05,157000,160520,+0.05,15
109/09/23,0.99,1.01,0.94,0.94,203000,200830,-0.11,14
109/09/24,1.00,1.02,0.99,1.01,174000,175260,+0.07,20
109/09/25,0.99,1.13,0.99,1.13,341000,373940,+0.12,24
109/09/28,1.13,1.17,1.12,1.15,557000,641530,+0.02,26
109/09/29,1.29,1.29,1.05,1.09,277000,299060,-0.06,12
109/09/30,1.13,1.13,1.08,1.09,211000,235890,0.00,7
109/10/05,1.08,1.08,0.99,1.01,293000,292120,-0.08,12
109/10/06,0.95,0.95,0.91,0.91,78000,73430,-0.10,22
109/10/07,0.96,0.96,0.95,0.95,290000,278300,+0.04,9
109/10/08,0.85,0.85,0.85,0.85,14000,11900,-0.10,3
109/10/12,0.83,0.84,0.83,0.84,33000,27590,-0.01,2
109/10/13,0.85,0.85,0.78,0.79,123000,99410,-0.05,12
109/10/14,0.79,0.86,0.79,0.86,348000,280120,+0.07,7
109/10/15,0.78,0.79,0.77,0.79,40000,31240,-0.07,22
109/10/16,0.78,0.78,0.78,0.78,22000,17160,-0.01,2
109/10/19,0.83,0.86,0.83,0.85,36000,30420,+0.07,14
109/10/20,0.83,0.85,0.83,0.85,45000,37850,0.00,3
109/10/21,0.83,0.83,0.79,0.80,69000,55570,-0.05,10
109/10/22,0.80,0.88,0.80,0.87,60000,50160,+0.07,14
109/10/23,0.84,0.86,0.84,0.86,160000,136080,-0.01,10
109/10/26,0.86,0.88,0.85,0.85,155000,135210,-0.01,12
109/10/27,0.87,0.88,0.86,0.87,105000,91850,+0.02,9
109/10/28,0.83,0.83,0.77,0.78,210000,168600,-0.09,5
109/10/29,0.77,0.78,0.77,0.78,35000,27150,0.00,4
109/10/30,0.87,0.91,0.87,0.91,207000,181760,+0.13,12
109/11/02,0.88,0.90,0.87,0.88,108000,94660,-0.03,8
109/11/03,0.83,0.83,0.83,0.83,19000,15770,-0.05,2
109/11/04,0.83,0.83,0.79,0.79,51000,40330,-0.04,2
109/11/05,0.70,0.74,0.70,0.73,156000,111230,-0.06,3
109/11/06,0.65,0.72,0.64,0.72,100000,66350,-0.01,6
109/11/09,0.66,0.66,0.65,0.66,90000,59200,-0.06,9
109/11/10,0.74,0.82,0.74,0.79,30000,23200,+0.13,10
109/11/11,0.81,0.88,0.81,0.85,226000,193640,+0.06,6
109/11/12,0.84,0.89,0.84,0.89,243000,205960,+0.04,8
109/11/13,0.83,0.85,0.83,0.83,515000,433610,-0.06,7
109/11/16,0.82,0.82,0.76,0.76,242000,192190,-0.07,8
109/11/17,0.76,0.85,0.76,0.83,145000,115870,+0.07,8
109/11/18,0.82,0.83,0.81,0.83,188000,154630,0.00,13
109/11/19,0.79,0.79,0.79,0.79,93000,73470,-0.04,3
109/11/20,---,---,---,---,0,0,---,0
109/11/23,0.65,0.65,0.65,0.65,50000,32500,-0.14,1
109/11/24,---,---,---,---,0,0,---,0
109/11/25,0.73,0.78,0.73,0.78,44000,32670,+0.08,5
109/11/26,0.74,0.80,0.74,0.79,55000,41820,+0.01,3
109/11/27,0.75,0.75,0.75,0.75,10000,7500,-0.04,1
