108/10/14,1.17,1.17,1.17,1.17,5000,5850,0.00,1
108/10/15,1.20,1.20,1.20,1.20,5000,6000,+0.03,1
108/10/16,---,---,---,---,0,0,---,0
108/10/17,---,---,---,---,0,0,---,0
108/10/18,---,---,---,---,0,0,---,0
108/10/21,---,---,---,---,0,0,---,0
108/10/22,1.31,1.43,1.31,1.39,301000,405700,+0.15,10
108/10/23,1.37,1.46,1.36,1.41,582000,828810,+0.02,24
108/10/24,1.40,1.41,1.36,1.40,236000,330290,-0.01,9
108/10/25,---,---,---,---,0,0,---,0
108/10/28,1.28,1.35,1.28,1.35,84000,111860,+0.08,7
108/10/29,1.34,1.34,1.22,1.22,92000,119600,-0.13,11
108/10/30,1.29,1.29,1.29,1.29,20000,25800,+0.07,2
108/10/31,1.31,1.32,1.28,1.28,155000,203100,-0.01,11
108/11/01,1.28,1.28,1.25,1.26,214000,270350,-0.02,8
108/11/04,1.27,1.33,1.25,1.26,440000,563850,0.00,27
108/11/05,1.27,1.47,1.26,1.42,464000,639990,+0.16,45
108/11/06,1.39,1.39,1.03,1.09,372000,450470,-0.33,34
108/11/07,1.03,1.03,0.90,0.94,237000,224250,-0.15,18
108/11/08,1.01,1.05,0.98,0.98,157000,158550,+0.04,8
108/11/11,0.95,0.97,0.93,0.93,70000,66500,-0.05,5
108/11/12,0.97,1.07,0.97,1.00,142000,142620,+0.07,12
108/11/13,0.99,1.02,0.99,1.00,105000,104840,0.00,6
108/11/14,0.95,0.95,0.92,0.93,50000,46220,-0.07,3
108/11/15,0.99,0.99,0.99,0.99,199000,197010,+0.06,2
108/11/18,0.95,0.95,0.95,0.95,199000,189050,-0.04,2
108/11/19,---,---,---,---,0,0,---,0
108/11/20,0.91,0.91,0.90,0.90,14000,12700,-0.03,2
108/11/21,---,---,---,---,0,0,---,0
108/11/22,---,---,---,---,0,0,---,0
108/11/25,0.97,0.97,0.96,0.96,45000,43550,+0.04,3
108/11/26,0.97,1.11,0.97,1.10,471000,494320,+0.14,17
108/11/27,1.10,1.10,1.08,1.09,300000,327520,-0.01,11
108/11/28,1.13,1.21,1.13,1.19,420000,501310,+0.10,13
108/11/29,1.33,1.42,1.24,1.24,568000,769930,+0.05,24
108/12/02,1.23,1.24,1.09,1.23,245000,289910,-0.01,20
108/12/03,1.21,1.23,1.19,1.20,64000,77740,-0.03,7
