109/09/24,---,---,---,---,0,0,---,0
109/09/25,---,---,---,---,0,0,---,0
109/09/28,---,---,---,---,0,0,---,0
109/09/29,---,---,---,---,0,0,---,0
109/09/30,0.89,0.93,0.86,0.92,207000,189290,+0.13,9
109/10/05,0.97,1.08,0.95,1.06,1157000,1198930,+0.14,42
109/10/06,1.03,1.11,1.00,1.03,1106000,1124520,-0.03,26
109/10/07,0.97,1.03,0.96,0.96,351000,348110,-0.07,23
109/10/08,0.99,0.99,0.88,0.88,340000,321400,-0.08,17
109/10/12,0.92,0.92,0.90,0.90,90000,82200,+0.02,3
109/10/13,0.86,0.93,0.86,0.93,548000,493400,+0.03,9
109/10/14,0.90,1.04,0.90,1.00,1363000,1306650,+0.07,43
109/10/15,1.01,1.01,0.92,0.92,865000,841520,-0.08,24
109/10/16,0.95,1.06,0.95,1.00,1092000,1082620,+0.08,28
109/10/19,1.09,1.12,1.00,1.12,1351000,1414770,+0.12,42
109/10/20,1.12,1.19,1.04,1.08,281000,315830,-0.04,23
109/10/21,1.02,1.03,0.99,0.99,172000,175260,-0.09,12
109/10/22,1.01,1.01,0.90,0.90,284000,269450,-0.09,17
109/10/23,0.92,0.96,0.92,0.96,95000,89490,+0.06,4
109/10/26,0.94,0.94,0.92,0.92,90000,83000,-0.04,4
109/10/27,0.85,0.88,0.84,0.85,262000,222980,-0.07,5
109/10/28,0.87,0.87,0.82,0.82,361000,311270,-0.03,5
109/10/29,0.75,0.87,0.75,0.87,313000,242610,+0.05,7
109/10/30,0.90,0.93,0.87,0.90,598000,537280,+0.03,19
109/11/02,0.84,0.84,0.81,0.81,335000,274790,-0.09,12
109/11/03,0.83,0.93,0.83,0.91,197000,178180,+0.10,7
109/11/04,0.87,0.89,0.85,0.85,164000,143720,-0.06,7
109/11/05,0.86,0.95,0.86,0.93,460000,426620,+0.08,14
109/11/06,1.00,1.01,0.98,1.00,920000,921420,+0.07,30
109/11/09,1.07,1.08,1.02,1.07,1039000,1095410,+0.07,33
109/11/10,1.03,1.05,1.00,1.02,662000,673910,-0.05,27
109/11/11,1.09,1.09,0.99,0.99,188000,198940,-0.03,15
109/11/12,0.95,0.96,0.91,0.91,100000,93400,-0.08,7
109/11/13,0.94,0.98,0.94,0.95,77000,73450,+0.04,8
109/11/16,0.94,0.94,0.90,0.92,41000,38110,-0.03,5
109/11/17,0.93,1.04,0.93,1.02,302000,296720,+0.10,22
109/11/18,1.06,1.15,1.02,1.15,1005000,1106720,+0.13,45
109/11/19,1.14,1.19,1.09,1.10,942000,1069010,-0.05,32
109/11/20,1.10,1.10,1.05,1.05,150000,161830,-0.05,8
109/11/23,1.05,1.08,1.04,1.04,346000,369410,-0.01,11
109/11/24,1.02,1.10,1.02,1.05,401000,432740,+0.01,17
109/11/25,1.11,1.41,1.08,1.34,1559000,1985970,+0.29,65
109/11/26,1.35,1.37,1.23,1.28,968000,1277710,-0.06,43
109/11/27,1.26,1.30,1.20,1.27,284000,354070,-0.01,14
