109/02/25,1.94,1.94,1.94,1.94,5000,9700,+0.14,1
109/02/26,1.93,2.16,1.93,2.10,121000,246000,+0.16,12
109/02/27,2.06,2.26,2.04,2.26,223000,467870,+0.16,17
109/03/02,2.36,2.36,2.14,2.14,99000,230400,-0.12,6
109/03/03,1.97,2.07,1.97,2.07,32000,64360,-0.07,3
109/03/04,2.20,2.32,2.15,2.26,102000,227170,+0.19,10
109/03/05,2.15,2.15,2.09,2.09,66000,141280,-0.17,6
109/03/06,2.09,2.17,2.09,2.16,86000,183400,+0.07,7
109/03/09,2.30,2.53,2.27,2.53,99000,232260,+0.37,10
109/03/10,2.58,2.58,2.44,2.44,61000,155040,-0.09,7
109/03/11,2.31,2.56,2.31,2.56,58000,140850,+0.12,6
109/03/12,2.58,2.81,2.58,2.81,74000,196560,+0.25,5
109/03/13,3.31,3.31,3.08,3.08,26000,83760,+0.27,2
109/03/16,2.90,2.90,2.90,2.90,10000,29000,-0.18,1
109/03/17,---,---,---,---,0,0,---,0
109/03/18,3.50,3.50,3.50,3.50,10000,35000,+0.11,1
109/03/19,3.90,3.90,3.90,3.90,10000,39000,+0.40,1
109/03/20,3.68,3.68,3.68,3.68,3000,11040,-0.22,1
109/03/23,4.05,4.13,4.05,4.13,3000,12270,+0.45,3
109/03/24,3.96,3.96,3.96,3.96,2000,7920,-0.17,1
109/03/25,3.70,3.91,3.70,3.91,7000,26870,-0.05,3
109/03/26,---,---,---,---,0,0,---,0
109/03/27,3.67,3.67,3.67,3.67,5000,18350,-0.24,2
109/03/30,3.86,3.86,3.86,3.86,4000,15440,+0.19,1
109/03/31,---,---,---,---,0,0,---,0
109/04/01,---,---,---,---,0,0,---,0
109/04/06,---,---,---,---,0,0,---,0
109/04/07,---,---,---,---,0,0,---,0
109/04/08,---,---,---,---,0,0,---,0
109/04/09,---,---,---,---,0,0,---,0
109/04/10,---,---,---,---,0,0,---,0
109/04/13,---,---,---,---,0,0,---,0
109/04/14,---,---,---,---,0,0,---,0
109/04/15,---,---,---,---,0,0,---,0
109/04/16,---,---,---,---,0,0,---,0
109/04/17,---,---,---,---,0,0,---,0
109/04/20,---,---,---,---,0,0,---,0
109/04/21,---,---,---,---,0,0,---,0
