108/06/28,---,---,---,---,0,0,---,0
108/07/01,1.51,1.51,1.51,1.51,10000,15100,+0.23,1
108/07/02,1.53,1.53,1.50,1.50,21000,31830,-0.01,3
108/07/03,---,---,---,---,0,0,---,0
108/07/04,1.33,1.37,1.33,1.37,14000,18680,+0.10,4
108/07/05,1.37,1.37,1.29,1.29,64000,83340,-0.08,5
108/07/08,1.12,1.18,1.12,1.18,179000,204060,-0.11,3
108/07/09,1.01,1.09,1.01,1.09,336000,348000,-0.09,6
108/07/10,1.04,1.04,0.97,0.98,339000,342150,-0.11,7
108/07/11,0.99,1.15,0.99,1.15,124000,124680,+0.17,2
108/07/12,1.18,1.18,1.18,1.18,12000,14160,+0.03,1
108/07/15,1.10,1.10,1.10,1.10,39000,42900,-0.08,1
108/07/16,1.09,1.09,1.09,1.09,39000,42510,-0.01,1
108/07/17,1.04,1.04,1.04,1.04,39000,40560,-0.05,1
108/07/18,1.02,1.02,0.83,0.96,117000,112470,-0.08,10
108/07/19,1.00,1.06,0.89,0.89,166000,169550,-0.07,11
108/07/22,0.95,1.03,0.94,1.03,704000,676830,+0.14,17
108/07/23,1.05,1.05,1.00,1.00,554000,566140,-0.03,17
108/07/24,1.01,1.08,1.00,1.08,543000,555590,+0.08,16
108/07/25,1.12,1.37,1.03,1.31,444000,494850,+0.23,28
108/07/26,1.25,1.32,1.24,1.29,465000,594110,-0.02,16
108/07/29,1.23,1.30,1.19,1.24,480000,594890,-0.05,14
108/07/30,1.22,1.22,1.08,1.17,378000,458970,-0.07,18
108/07/31,1.08,1.29,1.08,1.27,512000,587940,+0.10,29
108/08/01,1.14,1.23,1.14,1.16,349000,413820,-0.11,17
108/08/02,1.02,1.02,0.94,0.94,37000,36430,-0.22,5
108/08/05,0.92,0.97,0.92,0.97,166000,157290,+0.03,7
108/08/06,0.89,1.00,0.89,1.00,252000,227500,+0.03,8
108/08/07,1.09,1.26,1.09,1.13,229000,254480,+0.13,10
108/08/08,1.17,1.52,1.17,1.50,209000,273980,+0.37,12
108/08/12,1.64,1.74,1.55,1.55,106000,169670,+0.05,10
108/08/13,1.49,1.54,1.45,1.45,82000,121190,-0.10,6
108/08/14,1.67,1.71,1.62,1.62,91000,154170,+0.17,7
108/08/15,1.48,1.48,1.39,1.41,90000,126320,-0.21,5
108/08/16,1.41,1.41,1.34,1.38,131000,179810,-0.03,9
108/08/19,1.51,1.59,1.43,1.59,229000,342100,+0.21,11
108/08/20,1.57,1.72,1.57,1.58,1149000,1892850,-0.01,32
108/08/21,1.60,1.69,1.60,1.66,523000,870520,+0.08,17
108/08/22,1.78,1.81,1.64,1.65,1197000,2032550,-0.01,31
108/08/23,1.51,1.53,1.49,1.53,223000,340660,-0.12,7
108/08/26,1.28,1.33,1.28,1.30,122000,157850,-0.23,7
108/08/27,1.43,1.43,1.25,1.25,140000,194040,-0.05,10
108/08/28,1.27,1.30,1.15,1.18,234000,286340,-0.07,12
108/08/29,1.18,1.31,1.16,1.31,260000,307490,+0.13,11
108/08/30,1.33,1.35,1.22,1.22,80000,105620,-0.09,6
108/09/02,1.26,1.29,1.24,1.29,372000,475100,+0.07,20
108/09/03,1.28,1.31,1.23,1.31,342000,438570,+0.02,10
108/09/04,1.26,1.26,1.26,1.26,7000,8820,-0.05,2
108/09/05,1.35,1.54,1.35,1.54,265000,375740,+0.28,18
108/09/06,1.48,1.52,1.44,1.52,259000,382180,-0.02,13
108/09/09,1.54,1.54,1.28,1.34,183000,256000,-0.18,15
108/09/10,1.33,1.33,1.28,1.29,28000,36420,-0.05,3
108/09/11,1.35,1.59,1.32,1.51,409000,600130,+0.22,22
108/09/12,1.62,2.06,1.62,2.01,467000,828660,+0.50,27
108/09/16,2.05,2.05,1.86,2.01,211000,413340,0.00,15
108/09/17,2.02,2.09,1.89,1.89,47000,92830,-0.12,9
108/09/18,1.92,1.92,1.62,1.69,48000,84010,-0.20,9
108/09/19,1.64,1.70,1.56,1.67,68000,112100,-0.02,9
108/09/20,1.61,1.69,1.61,1.69,56000,91960,+0.02,6
108/09/23,1.69,1.69,1.60,1.60,31000,51460,-0.09,3
108/09/24,1.72,1.94,1.71,1.78,372000,675200,+0.18,19
108/09/25,1.59,1.66,1.57,1.60,370000,603300,-0.18,22
108/09/26,1.71,1.85,1.71,1.74,252000,450590,+0.14,13
108/09/27,1.71,1.74,1.50,1.52,220000,368830,-0.22,16
108/10/01,1.49,1.66,1.49,1.53,97000,152670,+0.01,8
108/10/02,1.49,1.56,1.49,1.54,110000,166670,+0.01,8
108/10/03,1.49,1.49,1.35,1.41,120000,167480,-0.13,9
108/10/04,1.39,1.39,1.25,1.25,20000,26700,-0.16,3
108/10/07,1.15,1.28,1.15,1.28,61000,71560,+0.03,4
108/10/08,1.27,1.32,1.27,1.32,11000,14020,+0.04,2
108/10/09,1.22,1.22,1.08,1.11,168000,185140,-0.21,8
108/10/14,1.16,1.29,1.16,1.29,437000,532160,+0.18,17
108/10/15,1.27,1.33,1.22,1.27,501000,640500,-0.02,14
108/10/16,1.19,1.19,0.56,0.70,826000,761610,-0.57,34
108/10/17,0.70,0.70,0.35,0.49,1574000,698590,-0.21,70
108/10/18,0.49,0.76,0.48,0.76,2787000,1581000,+0.27,116
108/10/21,0.71,0.71,0.59,0.66,1827000,1187550,-0.10,74
108/10/22,0.69,0.72,0.66,0.66,316000,223770,0.00,16
108/10/23,0.71,0.79,0.70,0.74,467000,351200,+0.08,25
108/10/24,0.76,0.80,0.71,0.79,467000,348640,+0.05,29
108/10/25,0.78,0.82,0.74,0.77,212000,167120,-0.02,10
108/10/28,0.72,0.72,0.66,0.72,297000,208950,-0.05,17
108/10/29,0.74,0.74,0.72,0.72,207000,151660,0.00,5
108/10/30,0.68,0.74,0.66,0.74,189000,126740,+0.02,7
108/10/31,0.73,0.79,0.72,0.79,374000,281920,+0.05,18
108/11/01,0.79,0.80,0.74,0.80,152000,116780,+0.01,8
108/11/04,0.85,0.85,0.81,0.85,117000,97430,+0.05,9
108/11/05,0.89,0.90,0.89,0.90,30000,26800,+0.05,3
108/11/06,0.72,0.76,0.64,0.67,45000,31300,-0.23,6
108/11/07,0.57,0.57,0.43,0.43,359000,180730,-0.24,11
108/11/08,0.49,0.51,0.37,0.41,264000,106780,-0.02,8
108/11/11,0.40,0.44,0.40,0.41,144000,59240,0.00,5
108/11/12,0.40,0.43,0.40,0.41,115000,47850,0.00,4
108/11/13,0.43,0.47,0.42,0.42,36000,16540,+0.01,4
108/11/14,---,---,---,---,0,0,---,0
108/11/15,0.41,0.41,0.41,0.41,1000,410,+0.02,1
108/11/18,0.44,0.61,0.44,0.56,193000,100530,+0.15,9
108/11/19,0.52,0.52,0.50,0.51,184000,93000,-0.05,5
108/11/20,0.45,0.45,0.41,0.41,34000,14840,-0.10,4
108/11/21,0.34,0.43,0.34,0.43,40000,15100,+0.02,4
