106/09/25,0.22,0.23,0.22,0.23,203000,45530,0.00,4
106/09/26,0.28,0.29,0.28,0.28,144000,40480,+0.05,4
106/09/27,0.27,0.27,0.25,0.25,148000,37210,-0.03,5
106/09/28,0.21,0.21,0.21,0.21,5000,1050,-0.04,1
106/09/29,0.26,0.26,0.24,0.24,10000,2500,+0.03,2
106/09/30,0.23,0.23,0.23,0.23,3000,690,-0.01,1
106/10/02,0.21,0.22,0.21,0.22,160000,35100,-0.01,5
106/10/03,---,---,---,---,0,0,---,0
106/10/05,0.21,0.21,0.20,0.20,95000,19400,-0.02,4
106/10/06,0.16,0.17,0.16,0.17,55000,8900,-0.03,3
106/10/11,---,---,---,---,0,0,---,0
106/10/12,---,---,---,---,0,0,---,0
106/10/13,---,---,---,---,0,0,---,0
106/10/16,---,---,---,---,0,0,---,0
106/10/17,0.08,0.09,0.08,0.09,181000,16280,-0.06,2
106/10/18,---,---,---,---,0,0,---,0
106/10/19,---,---,---,---,0,0,---,0
106/10/20,---,---,---,---,0,0,---,0
106/10/23,---,---,---,---,0,0,---,0
106/10/24,---,---,---,---,0,0,---,0
106/10/25,---,---,---,---,0,0,---,0
106/10/26,---,---,---,---,0,0,---,0
106/10/27,---,---,---,---,0,0,---,0
106/10/30,---,---,---,---,0,0,---,0
106/10/31,---,---,---,---,0,0,---,0
106/11/01,---,---,---,---,0,0,---,0
106/11/02,---,---,---,---,0,0,---,0
106/11/03,---,---,---,---,0,0,---,0
106/11/06,---,---,---,---,0,0,---,0
106/11/07,---,---,---,---,0,0,---,0
106/11/08,---,---,---,---,0,0,---,0
106/11/09,---,---,---,---,0,0,---,0
106/11/10,---,---,---,---,0,0,---,0
106/11/13,---,---,---,---,0,0,---,0
106/11/14,---,---,---,---,0,0,---,0
106/11/15,---,---,---,---,0,0,---,0
106/11/16,---,---,---,---,0,0,---,0
106/11/17,---,---,---,---,0,0,---,0
106/11/20,---,---,---,---,0,0,---,0
106/11/21,---,---,---,---,0,0,---,0
106/11/22,---,---,---,---,0,0,---,0
106/11/23,---,---,---,---,0,0,---,0
106/11/24,---,---,---,---,0,0,---,0
106/11/27,---,---,---,---,0,0,---,0
106/11/28,---,---,---,---,0,0,---,0
106/11/29,---,---,---,---,0,0,---,0
106/11/30,---,---,---,---,0,0,---,0
